Category,Turbine,RatedPower_MW,HubHeight_m,TowerMass_t,Notes,Scaling_x
Reference model,WindPACT 0.75 MW,0.75,60,53.776,WindPACT baseline; tapered steel tube,37.11811815
Reference model,WindPACT 1.5 MW,1.5,84,125.364,WindPACT baseline; tapered steel tube,101.1006102
Generic LCI,Generic 2 MW onshore,2,78,165,Ecoinvent LCI dataset,18.66998932
Reference model,WindPACT 3.0 MW,3,119,351.798,WindPACT baseline; tapered steel tube,33.98248189
Reference model,IEA 3.4 MW,3.37,110,553,IEA Task 37 land-based RWT,62.40520992
Reference model,NREL 5 MW,5,90,347.46,NREL offshore baseline; tower height 87.6 m,62.35330304
Reference model,WindPACT 5.0 MW,5,154,775.094,WindPACT baseline; tapered steel tube,65.33815762
Project / commercial,MHI Vestas V164-9.5 MW,9.5,105,291,Moray East project slide; hub height inferred from approx. tip height 187 m minus rotor radius 82 m,97.75197547
Reference model,DTU 10 MW,10,119,628.442,DTU 10 MW / used as provisional tower mass for IEA 10 MW,113.9358039
Reference model,IEA 10 MW,10,119,628.442,"IEA Task 37 10 MW; tower mass provisional, same as DTU 10 MW",113.9358039
Reference model,IEA 15 MW fixed-bottom,15,150,860,IEA 15 MW offshore fixed-bottom RWT,166.002288
Reference model,IEA 22 MW fixed-bottom,22,170,1574,IEA 22 MW offshore fixed-bottom RWT,220.8248944
